State Name,District Name
Andaman And Nicobar Islands,North and Middle Andaman
Andaman And Nicobar Islands,South Andaman
Andaman And Nicobar Islands,Nicobars
Andhra Pradesh,Srikakulam
Andhra Pradesh,Vizianagaram
Andhra Pradesh,Visakhapatnam
Andhra Pradesh,Krishna
Andhra Pradesh,Guntur
Andhra Pradesh,East Godavari
Andhra Pradesh,Prakasam
Andhra Pradesh,Kurnool
Andhra Pradesh,Anantapur
Andhra Pradesh,S.P.S. Nellore
Andhra Pradesh,West Godavari
Andhra Pradesh,Y.S.R. Kadapa
Andhra Pradesh,Chittoor
Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh,Anjaw
Arunachal Pradesh,Changlang
Arunachal Pradesh,Tawang
Arunachal Pradesh,Papum Pare
Arunachal Pradesh,Tirap
Arunachal Pradesh,East Siang
Arunachal Pradesh,Lohit
Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh,East Kameng
Arunachal Pradesh,West Kameng
Arunachal Pradesh,Kra Daadi
Arunachal Pradesh,Namsai
Arunachal Pradesh,Longding
Arunachal Pradesh,Upper Siang
Arunachal Pradesh,Lower Siang
Arunachal Pradesh,Upper Dibang Valley
Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh,Siang
Arunachal Pradesh,Shi Yomi
Arunachal Pradesh,Pakke Kessang
Arunachal Pradesh,West Siang
Arunachal Pradesh,Lepa Rada
Arunachal Pradesh,Kamle
Assam,Tinsukia
Assam,Dhemaji
Assam,Dibrugarh
Assam,Lakhimpur
Assam,Sivasagar
Assam,Jorhat
Assam,Sonitpur
Assam,Golaghat
Assam,Udalguri
Assam,Chirang
Assam,Baksa
Assam,Nagaon
Assam,Kokrajhar
Assam,Darrang
Assam,Barpeta
Assam,Nalbari
Assam,Morigaon
Assam,Kamrup
Assam,Bongaigaon
Assam,Dhubri
Assam,Kamrup Metropolitan
Assam,Goalpara
Assam,Dima Hasao
Assam,Cachar
Assam,Karimganj
Assam,Hailakandi
Assam,Charaideo
Assam,Majuli
Assam,Biswanath
Assam,Hojai
Assam,South Salmara Mankachar
Assam,Karbi Anglong
Assam,West Karbi Anglong
Bihar,West Champaran
Bihar,East Champaran
Bihar,Sitamarhi
Bihar,Sheohar
Bihar,Gopalganj
Bihar,Samastipur
Bihar,Katihar
Bihar,Khagaria
Bihar,Bhojpur
Bihar,Buxar
Bihar,Darbhanga
Bihar,Saharsa
Bihar,Kaimur
Bihar,Rohtas
Bihar,Jamui
Bihar,Banka
Bihar,Nawada
Bihar,Gaya
Bihar,Munger
